mauve	(312.77777777777777, 65.06024096385543, 65.09803921568627)
forest green	(122.49999999999999, 60.0, 31.372549019607842)
dark pink	(317.6470588235294, 62.04379562043796, 53.72549019607843)
lime green	(123.28358208955224, 85.16949152542374, 92.54901960784314)
salmon	(13.783783783783782, 62.71186440677966, 92.54901960784314)
orange	(25.592417061611375, 90.55793991416309, 91.37254901960785)
dark grey	(0.0, 0.0, 41.96078431372549)
grey	(0.0, 0.0, 63.13725490196078)
white	(0.0, 0.0, 100.0)
grey green	(128.57142857142858, 24.647887323943664, 55.68627450980392)
magenta	(306.6666666666667, 94.53781512605042, 93.33333333333333)
black	(0.0, 0.0, 0.0)
dark brown	(39.27272727272727, 73.33333333333334, 29.411764705882355)
grey blue	(236.84210526315792, 25.67567567567568, 58.03921568627452)
dark teal	(174.47368421052633, 75.24752475247524, 39.6078431372549)
tan	(48.51063829787234, 32.41379310344827, 56.86274509803921)
faded purple	(293.0769230769231, 38.61386138613861, 79.2156862745098)
brownish pink	(6.268656716417915, 32.05741626794258, 81.96078431372548)
true blue	(237.08737864077665, 88.79310344827587, 90.98039215686275)
light periwinkle	(209.16666666666666, 30.638297872340424, 92.15686274509804)
easter purple	(280.0, 42.857142857142854, 82.35294117647058)
british racing green	(138.0, 54.94505494505494, 35.68627450980392)
bright fuchsia	(302.9189189189189, 79.39914163090128, 91.37254901960785)
light neon green	(126.62068965517243, 56.86274509803921, 100.0)
bright indigo	(255.0, 64.0, 88.23529411764706)
bright yellow	(60.87378640776698, 80.7843137254902, 100.0)
deep teal	(180.46511627906978, 90.20979020979021, 56.07843137254902)
light seafoam	(165.12820512820514, 48.54771784232365, 94.50980392156862)
midnight blue	(235.3846153846154, 72.89719626168225, 41.96078431372549)
bright purple	(284.1, 78.43137254901961, 100.0)
primary blue	(235.09090909090907, 92.05020920502093, 93.72549019607843)
hot magenta	(304.57399103139016, 94.0928270042194, 92.94117647058823)
pale sky blue	(194.01869158878506, 42.46031746031746, 98.82352941176471)
violet red	(331.3761467889908, 92.37288135593221, 92.54901960784314)
squash	(65.00000000000001, 68.9655172413793, 68.23529411764706)
sky blue	(190.12048192771084, 70.63829787234042, 92.15686274509804)
light mint	(105.38461538461539, 33.76623376623377, 90.58823529411765)
parchment	(57.35294117647057, 28.691983122362874, 92.94117647058823)
bright sky blue	(180.0, 77.38095238095238, 98.82352941176471)
dark aquamarine	(168.53932584269666, 76.06837606837607, 45.88235294117647)
sap green	(85.26315789473684, 65.51724137931035, 56.86274509803921)
butter	(60.0, 18.43137254901961, 100.0)
dark hot pink	(312.0863309352518, 100.0, 54.509803921568626)
marine blue	(215.52000000000004, 77.16049382716048, 63.52941176470588)
dark sage	(103.44827586206895, 28.155339805825236, 40.3921568627451)
blood red	(0.0, 75.17241379310344, 56.86274509803921)
light fuchsia	(318.1294964028777, 54.50980392156863, 100.0)
celery	(93.93939393939395, 42.85714285714285, 90.58823529411765)
raw sienna	(36.346153846153854, 81.88976377952756, 49.80392156862745)
mustard brown	(58.14432989690722, 63.39869281045751, 60.0)
lemon lime	(75.77586206896554, 97.47899159663865, 93.33333333333333)
peachy pink	(9.142857142857144, 43.388429752066116, 94.90196078431372)
royal purple	(288.1632653061224, 84.0, 68.62745098039215)
dirty blue	(244.13793103448273, 38.66666666666667, 58.82352941176471)
apricot	(13.333333333333332, 64.83050847457628, 92.54901960784314)
very light pink	(316.11940298507466, 26.482213438735187, 99.2156862745098)
coral pink	(335.1851851851852, 65.32258064516128, 97.25490196078431)
dried blood	(0.0, 76.04166666666666, 37.64705882352941)
lavender blue	(264.950495049505, 41.39344262295082, 95.68627450980392)
deep orange	(29.79865771812081, 94.30379746835443, 61.96078431372549)
bright red	(0.0, 88.52459016393443, 95.68627450980392)
true green	(119.61783439490445, 100.0, 61.568627450980394)
bright teal	(165.8426966292135, 69.80392156862744, 100.0)
neon green	(105.42056074766354, 91.84549356223177, 91.37254901960785)
hot purple	(288.0, 100.0, 100.0)
medium pink	(330.24793388429754, 56.8075117370892, 83.52941176470588)
light lilac	(283.20000000000005, 20.661157024793386, 94.90196078431372)
dark sea green	(181.48148148148147, 73.63636363636364, 43.13725490196079)
greeny brown	(75.50561797752809, 61.80555555555556, 56.470588235294116)
almost black	(120.0, 14.285714285714294, 27.450980392156865)
bright aqua	(168.52941176470586, 83.60655737704919, 95.68627450980392)
medium grey	(0.0, 0.0, 49.01960784313725)
